date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:25	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-636d43d5-a912bebf324ae580;gz%22	https://monstersgambits.com/robots.txt		(from )
15:13:25	150982/150982	---M-Z	200	added ('OK')	text/html	etag:%226-1730135181;gz%22	https://monstersgambits.com/	C:/My%20Web%20Sites/MG/monstersgambits.com/index.html	(from )
15:13:26	39707/39707	---M--	200	added ('OK')	image/png	etag:%229b1b-648f8cad-f9ab20a03884f7be;;;%22	https://monstersgambits.com/wp-content/uploads/2021/05/BlankWhiteLogo.png	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/uploads/2021/05/BlankWhiteLogo.png	(from https://monstersgambits.com/)
15:13:26	40634/40634	---M-Z	200	added ('OK')	text/css	etag:%229eba-63756d37-6b2bdc634c3115f8;gz%22	https://monstersgambits.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.4	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/themes/astra/assets/css/minified/main.minf3c8.css	(from https://monstersgambits.com/)
15:13:26	2299/2299	---MCZ	200	added ('OK')	application/rss+xml	etag:%226e0c3166bbfab73b8f78f35df3bb784f%22	https://monstersgambits.com/?feed=rss2	C:/My%20Web%20Sites/MG/monstersgambits.com/indexd784.html	(from https://monstersgambits.com/)
15:13:26	95021/95021	---M-Z	200	added ('OK')	text/css	etag:%221732d-64697055-988cb7ab0765bfb5;gz%22	https://monstersgambits.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.7	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-includes/css/dist/block-library/style.min36b6.css	(from https://monstersgambits.com/)
15:13:27	19279/19279	---M-Z	200	added ('OK')	text/css	etag:%224b4f-63756d3e-4cd0fdcd7c5280c0;gz%22	https://monstersgambits.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://monstersgambits.com/)
15:13:28	1668/1668	---M-Z	200	added ('OK')	application/rss+xml	etag:%226e0c3166bbfab73b8f78f35df3bb784f%22	https://monstersgambits.com/?feed=comments-rss2	C:/My%20Web%20Sites/MG/monstersgambits.com/indexa6da.html	(from https://monstersgambits.com/)
15:13:28	103736/103736	---M-Z	200	added ('OK')	text/css	etag:%2219538-63756d3e-1b374938ddc477f2;gz%22	https://monstersgambits.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from https://monstersgambits.com/)
15:13:28	1049/1049	---M-Z	200	added ('OK')	text/css	etag:%22419-648f9eae-8647946fb7e9061d;gz%22	https://monstersgambits.com/wp-content/uploads/elementor/css/post-256.css?ver=1687133870	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/uploads/elementor/css/post-2561b45.css	(from https://monstersgambits.com/)
15:13:28	21503/21503	---M-Z	200	added ('OK')	text/css	etag:%2253ff-66546973-488b12c0861241a6;gz%22	https://monstersgambits.com/wp-content/uploads/elementor/css/post-255.css?ver=1716808051	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-content/uploads/elementor/css/post-255d19d.css	(from https://monstersgambits.com/)
15:13:28	210376/210376	---MCZ	200	added ('OK')	application/json	etag:%224-1730071404;gz%22	https://monstersgambits.com/index.php?rest_route=/	C:/My%20Web%20Sites/MG/monstersgambits.com/index52f0.json	(from https://monstersgambits.com/)
15:13:29	30095/30095	---MCZ	200	added ('OK')	application/json	etag:%225-1730071405;gz%22	https://monstersgambits.com/index.php?rest_route=/wp/v2/pages/255	C:/My%20Web%20Sites/MG/monstersgambits.com/index91fc.json	(from https://monstersgambits.com/)
15:13:29	842/842	---M-Z	200	added ('OK')	text/xml	date:Thu,%2031%20Oct%202024%2012:13:29%20GMT	https://monstersgambits.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/MG/monstersgambits.com/xmlrpc0db0.php	(from https://monstersgambits.com/)
15:13:29	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-63756d21-3d8d3aebb71b9baf;gz%22	https://monstersgambits.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/MG/monstersgambits.com/wp-includes/wlwmanifest.xml	(from https://monstersgambits.com/)
